"","StartDate","EndDate","Status","Progress","Duration__in_seconds_","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","QID69","Q1_","Q2","Q3","nace","gender","degree","education","Q8","Q10","Q12","Q13","Q14_1","Q14_2","Q14_3","Q14_4","Q14_5","Q14_6","Q14_7","Q14_8","Q14_9","Q14_10","Q14_11","Q14_28","Q14_12","Q14_13","Q14_14","Q14_15","Q14_16","Q14_17","Q14_18","Q14_19","Q14_20","Q14_21","Q14_22","Q14_23","Q14_24","Q14_25","Q14_26","Q14_27","Q15","Q16","Q59_1","Q59_2","Q59_3","Q59_4","Q59_5","Q59_6","Q59_7","Q59_8","Q59_9","Q59_10","Q59_28","Q59_11","Q59_12","Q59_13","Q59_14","Q59_15","Q59_16","Q59_17","Q59_18","Q59_19","Q59_20","Q59_21","Q59_22","Q59_23","Q59_24","Q59_25","Q59_26","Q59_27","Q61_1","Q61_2","Q61_3","Q61_4","Q61_5","Q61_6","Q61_7","Q61_8","Q61_9","Q61_10","Q61_28","Q61_11","Q61_12","Q61_13","Q61_14","Q61_15","Q61_16","Q61_17","Q61_18","Q61_19","Q61_20","Q61_21","Q61_22","Q61_23","Q61_24","Q61_25","Q61_26","Q61_27","Q60_1","Q60_2","Q60_3","Q60_4","Q60_5","Q60_6","Q60_7","Q60_8","Q60_9","Q60_10","Q60_28","Q60_11","Q60_12","Q60_13","Q60_14","Q60_15","Q60_16","Q60_17","Q60_18","Q60_19","Q60_20","Q60_21","Q60_22","Q60_23","Q60_24","Q60_25","Q60_26","Q60_27","Q43","Q46.0","Q47","Q48","Q50","Q49","age","income","zip_residence1","zip_workplace1","age_clustered","filter_.","experience"
"1",2024-04-10 11:31:11,2024-04-10 11:34:50,"IP Address",100,219,"True",2024-04-10 11:34:51,"R_4NHYzPwt2i5v73I0","anonymous","EN",4,"1993","8500","8800",NA,"Female","Academic master","Industrial engineering","6y","€ 3250 - € 3500","5","Yes",1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"7","7","8","8","5",30,3375,"West Vlaanderen","West Vlaanderen","39","Selected",6
"2",2024-04-10 12:02:54,2024-04-10 12:07:52,"IP Address",100,298,"True",2024-04-10 12:07:53,"R_1PyWNMx2BekAP4t","anonymous","EN",4,"2000","9240","9240","F43 - Specialised construction activities","Female","Academic master","Industrial engineering","2y","€ 3250 - € 3500","9","Yes",NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","7",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"8","6","3","8","6",23,3375,"Oost Vlaanderen","Oost Vlaanderen","29","Selected",2
"3",2024-04-10 12:30:42,2024-04-10 12:35:40,"IP Address",100,297,"True",2024-04-10 12:35:41,"R_1I60oaf7czBQLA0","anonymous","EN",4,"1999","1930","9700","C25 - Manufacture of fabricated metal products, except machinery and equipment","Male","Academic master","Industrial engineering","1y","€2750 - €3000","8","Yes",1,1,NA,NA,NA,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","9",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"7","8","7","8","5",24,2875,"Brussel","Oost Vlaanderen","29","Selected",1
"4",2024-04-10 12:53:09,2024-04-10 12:57:00,"IP Address",100,230,"True",2024-04-10 12:57:00,"R_6TNTpuvtUDMfFWW","anonymous","EN",4,"1983","8860","8860","D35 - Electricity, gas, steam and air conditioning supply","Male","Professional bachelor","Electrical engineering","15y","€ 4750 - € 5000","8","Yes",NA,1,NA,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","7",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"8","10","6","6","4",40,4875,"West Vlaanderen","West Vlaanderen","49","Selected",15
"5",2024-04-10 12:56:02,2024-04-10 13:00:36,"IP Address",100,273,"True",2024-04-10 13:00:36,"R_2w7NYltLY0YwkRr","anonymous","EN",4,"2000","2018","9120",NA,"Male","Academic master","Industrial engineering","1y","€2750 - €3000","7","Yes",1,1,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,"8","6",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"9","9","10","9","7",23,2875,"Antwerpen","Oost Vlaanderen","29","Selected",1
"6",2024-04-10 13:01:04,2024-04-10 13:05:19,"IP Address",100,255,"True",2024-04-10 13:05:20,"R_8nVZeYeUtpOt0Dn","anonymous","EN",4,"1991","8870","8860","Other","Male","Professional bachelor","Electrical engineering","10y","€ 3250 - € 3500","4","Yes",NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","3",NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"9","8","2","4","2",32,3375,"West Vlaanderen","West Vlaanderen","39","Selected",10
"7",2024-04-10 13:05:42,2024-04-10 13:09:40,"IP Address",100,237,"True",2024-04-10 13:09:40,"R_2hVYgYx5nAQd3IW","anonymous","EN",4,"1996","8000","8400","D35 - Electricity, gas, steam and air conditioning supply","Male","Academic master","Electrical engineering","4y","€ 3500 - € 3750","6","Yes",1,1,NA,1,NA,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,"6","7",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"9","6","8","8","7",27,3625,"West Vlaanderen","West Vlaanderen","29","Selected",4
"8",2024-04-10 13:07:33,2024-04-10 13:09:44,"IP Address",100,131,"True",2024-04-10 13:09:45,"R_2rDyoXFI1CgV6VO","anonymous","EN",4,"1998","8520","8540","Other","Male","Academic master","Industrial engineering","3y","€ 4250 - € 4500","2","Yes",1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3","3","4","3","3",25,4375,"West Vlaanderen","West Vlaanderen","29","Selected",3
"9",2024-04-10 13:00:18,2024-04-10 13:10:18,"IP Address",100,600,"True",2024-04-10 13:10:19,"R_1IuRKvY719mso4u","anonymous","EN",4,"1994","8870","8860","Other","Male","Professional bachelor","Electrical engineering","8y","€ 3500 - € 3750","5","Yes",NA,NA,NA,1,1,1,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","7",1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"8","8","4","4","1",29,3625,"West Vlaanderen","West Vlaanderen","29","Selected",8
"10",2024-04-10 13:06:44,2024-04-10 13:10:33,"IP Address",100,228,"True",2024-04-10 13:10:33,"R_22Aq6XgFDNhEkTt","anonymous","EN",4,"1994","9820","9052","C24 - Manufacture of basic metals","Female","PhD","Chemical engineering","< 1y","€ 6000 - € 6250","8","Yes",NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA,1,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,"7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"8","9","5","5","10",29,6125,"Oost Vlaanderen","Oost Vlaanderen","29","Selected",0
